No.	Title	Link	Authors	Keywords
1	Greedy Hierarchical Variational Autoencoders for Large-Scale Video Prediction	https://openaccess.thecvf.com/content/CVPR2021/html/Wu_Greedy_Hierarchical_Variational_Autoencoders_for_Large-Scale_Video_Prediction_CVPR_2021_paper.html	Bohan Wu, Suraj Nair, Roberto Martin-Martin, Li Fei-Fei, Chelsea Finn	
2	Over-the-Air Adversarial Flickering Attacks Against Video Recognition Networks	https://openaccess.thecvf.com/content/CVPR2021/html/Pony_Over-the-Air_Adversarial_Flickering_Attacks_Against_Video_Recognition_Networks_CVPR_2021_paper.html	Roi Pony, Itay Naeh, Shie Mannor	
3	Person30K: A Dual-Meta Generalization Network for Person Re-Identification	https://openaccess.thecvf.com/content/CVPR2021/html/Bai_Person30K_A_Dual-Meta_Generalization_Network_for_Person_Re-Identification_CVPR_2021_paper.html	Yan Bai, Jile Jiao, Wang Ce, Jun Liu, Yihang Lou, Xuetao Feng, Ling-Yu Duan	
4	Privacy Preserving Localization and Mapping From Uncalibrated Cameras	https://openaccess.thecvf.com/content/CVPR2021/html/Geppert_Privacy_Preserving_Localization_and_Mapping_From_Uncalibrated_Cameras_CVPR_2021_paper.html	Marcel Geppert, Viktor Larsson, Pablo Speciale, Johannes L. Schonberger, Marc Pollefeys	
5	Removing Diffraction Image Artifacts in Under-Display Camera via Dynamic Skip Connection Network	https://openaccess.thecvf.com/content/CVPR2021/html/Feng_Removing_Diffraction_Image_Artifacts_in_Under-Display_Camera_via_Dynamic_Skip_CVPR_2021_paper.html	Ruicheng Feng, Chongyi Li, Huaijin Chen, Shuai Li, Chen Change Loy, Jinwei Gu	
6	iVPF: Numerical Invertible Volume Preserving Flow for Efficient Lossless Compression	https://openaccess.thecvf.com/content/CVPR2021/html/Zhang_iVPF_Numerical_Invertible_Volume_Preserving_Flow_for_Efficient_Lossless_Compression_CVPR_2021_paper.html	Shifeng Zhang, Chen Zhang, Ning Kang, Zhenguo Li	
7	Pose Recognition With Cascade Transformers	https://openaccess.thecvf.com/content/CVPR2021/html/Li_Pose_Recognition_With_Cascade_Transformers_CVPR_2021_paper.html	Ke Li, Shijie Wang, Xiang Zhang, Yifan Xu, Weijian Xu, Zhuowen Tu	
8	Body Meshes as Points	https://openaccess.thecvf.com/content/CVPR2021/html/Zhang_Body_Meshes_as_Points_CVPR_2021_paper.html	Jianfeng Zhang, Dongdong Yu, Jun Hao Liew, Xuecheng Nie, Jiashi Feng	
9	Style-Aware Normalized Loss for Improving Arbitrary Style Transfer	https://openaccess.thecvf.com/content/CVPR2021/html/Cheng_Style-Aware_Normalized_Loss_for_Improving_Arbitrary_Style_Transfer_CVPR_2021_paper.html	Jiaxin Cheng, Ayush Jaiswal, Yue Wu, Pradeep Natarajan, Prem Natarajan	
10	Enhancing the Transferability of Adversarial Attacks Through Variance Tuning	https://openaccess.thecvf.com/content/CVPR2021/html/Wang_Enhancing_the_Transferability_of_Adversarial_Attacks_Through_Variance_Tuning_CVPR_2021_paper.html	Xiaosen Wang, Kun He	
11	BiCnet-TKS: Learning Efficient Spatial-Temporal Representation for Video Person Re-Identification	https://openaccess.thecvf.com/content/CVPR2021/html/Hou_BiCnet-TKS_Learning_Efficient_Spatial-Temporal_Representation_for_Video_Person_Re-Identification_CVPR_2021_paper.html	Ruibing Hou, Hong Chang, Bingpeng Ma, Rui Huang, Shiguang Shan	
12	SceneGen: Learning To Generate Realistic Traffic Scenes	https://openaccess.thecvf.com/content/CVPR2021/html/Tan_SceneGen_Learning_To_Generate_Realistic_Traffic_Scenes_CVPR_2021_paper.html	Shuhan Tan, Kelvin Wong, Shenlong Wang, Sivabalan Manivasagam, Mengye Ren, Raquel Urtasun	
13	Zero-Shot Instance Segmentation	https://openaccess.thecvf.com/content/CVPR2021/html/Zheng_Zero-Shot_Instance_Segmentation_CVPR_2021_paper.html	Ye Zheng, Jiahong Wu, Yongqiang Qin, Faen Zhang, Li Cui	
14	Global Transport for Fluid Reconstruction With Learned Self-Supervision	https://openaccess.thecvf.com/content/CVPR2021/html/Franz_Global_Transport_for_Fluid_Reconstruction_With_Learned_Self-Supervision_CVPR_2021_paper.html	Erik Franz, Barbara Solenthaler, Nils Thuerey	
15	Pulsar: Efficient Sphere-Based Neural Rendering	https://openaccess.thecvf.com/content/CVPR2021/html/Lassner_Pulsar_Efficient_Sphere-Based_Neural_Rendering_CVPR_2021_paper.html	Christoph Lassner, Michael Zollhofer	
16	Contrastive Learning Based Hybrid Networks for Long-Tailed Image Classification	https://openaccess.thecvf.com/content/CVPR2021/html/Wang_Contrastive_Learning_Based_Hybrid_Networks_for_Long-Tailed_Image_Classification_CVPR_2021_paper.html	Peng Wang, Kai Han, Xiu-Shen Wei, Lei Zhang, Lei Wang	
17	Single-View Robot Pose and Joint Angle Estimation via Render & Compare	https://openaccess.thecvf.com/content/CVPR2021/html/Labbe_Single-View_Robot_Pose_and_Joint_Angle_Estimation_via_Render__CVPR_2021_paper.html	Yann Labbe, Justin Carpentier, Mathieu Aubry, Josef Sivic	
18	Learning the Non-Differentiable Optimization for Blind Super-Resolution	https://openaccess.thecvf.com/content/CVPR2021/html/Hui_Learning_the_Non-Differentiable_Optimization_for_Blind_Super-Resolution_CVPR_2021_paper.html	Zheng Hui, Jie Li, Xiumei Wang, Xinbo Gao	
19	From Synthetic to Real: Unsupervised Domain Adaptation for Animal Pose Estimation	https://openaccess.thecvf.com/content/CVPR2021/html/Li_From_Synthetic_to_Real_Unsupervised_Domain_Adaptation_for_Animal_Pose_CVPR_2021_paper.html	Chen Li, Gim Hee Lee	
20	Mask Guided Matting via Progressive Refinement Network	https://openaccess.thecvf.com/content/CVPR2021/html/Yu_Mask_Guided_Matting_via_Progressive_Refinement_Network_CVPR_2021_paper.html	Qihang Yu, Jianming Zhang, He Zhang, Yilin Wang, Zhe Lin, Ning Xu, Yutong Bai, Alan Yuille	
21	Deep Gradient Projection Networks for Pan-sharpening	https://openaccess.thecvf.com/content/CVPR2021/html/Xu_Deep_Gradient_Projection_Networks_for_Pan-sharpening_CVPR_2021_paper.html	Shuang Xu, Jiangshe Zhang, Zixiang Zhao, Kai Sun, Junmin Liu, Chunxia Zhang	
22	TDN: Temporal Difference Networks for Efficient Action Recognition	https://openaccess.thecvf.com/content/CVPR2021/html/Wang_TDN_Temporal_Difference_Networks_for_Efficient_Action_Recognition_CVPR_2021_paper.html	Limin Wang, Zhan Tong, Bin Ji, Gangshan Wu	
23	LiBRe: A Practical Bayesian Approach to Adversarial Detection	https://openaccess.thecvf.com/content/CVPR2021/html/Deng_LiBRe_A_Practical_Bayesian_Approach_to_Adversarial_Detection_CVPR_2021_paper.html	Zhijie Deng, Xiao Yang, Shizhen Xu, Hang Su, Jun Zhu	
24	ArtCoder: An End-to-End Method for Generating Scanning-Robust Stylized QR Codes	https://openaccess.thecvf.com/content/CVPR2021/html/Su_ArtCoder_An_End-to-End_Method_for_Generating_Scanning-Robust_Stylized_QR_Codes_CVPR_2021_paper.html	Hao Su, Jianwei Niu, Xuefeng Liu, Qingfeng Li, Ji Wan, Mingliang Xu, Tao Ren	
25	Improving Sign Language Translation With Monolingual Data by Sign Back-Translation	https://openaccess.thecvf.com/content/CVPR2021/html/Zhou_Improving_Sign_Language_Translation_With_Monolingual_Data_by_Sign_Back-Translation_CVPR_2021_paper.html	Hao Zhou, Wengang Zhou, Weizhen Qi, Junfu Pu, Houqiang Li	
26	Sketch, Ground, and Refine: Top-Down Dense Video Captioning	https://openaccess.thecvf.com/content/CVPR2021/html/Deng_Sketch_Ground_and_Refine_Top-Down_Dense_Video_Captioning_CVPR_2021_paper.html	Chaorui Deng, Shizhe Chen, Da Chen, Yuan He, Qi Wu	
27	Normal Integration via Inverse Plane Fitting With Minimum Point-to-Plane Distance	https://openaccess.thecvf.com/content/CVPR2021/html/Cao_Normal_Integration_via_Inverse_Plane_Fitting_With_Minimum_Point-to-Plane_Distance_CVPR_2021_paper.html	Xu Cao, Boxin Shi, Fumio Okura, Yasuyuki Matsushita	
28	Pixel Codec Avatars	https://openaccess.thecvf.com/content/CVPR2021/html/Ma_Pixel_Codec_Avatars_CVPR_2021_paper.html	Shugao Ma, Tomas Simon, Jason Saragih, Dawei Wang, Yuecheng Li, Fernando De la Torre, Yaser Sheikh	
29	Probabilistic Selective Encryption of Convolutional Neural Networks for Hierarchical Services	https://openaccess.thecvf.com/content/CVPR2021/html/Tian_Probabilistic_Selective_Encryption_of_Convolutional_Neural_Networks_for_Hierarchical_Services_CVPR_2021_paper.html	Jinyu Tian, Jiantao Zhou, Jia Duan	
30	DeepMetaHandles: Learning Deformation Meta-Handles of 3D Meshes With Biharmonic Coordinates	https://openaccess.thecvf.com/content/CVPR2021/html/Liu_DeepMetaHandles_Learning_Deformation_Meta-Handles_of_3D_Meshes_With_Biharmonic_Coordinates_CVPR_2021_paper.html	Minghua Liu, Minhyuk Sung, Radomir Mech, Hao Su	
31	Globally Optimal Relative Pose Estimation With Gravity Prior	https://openaccess.thecvf.com/content/CVPR2021/html/Ding_Globally_Optimal_Relative_Pose_Estimation_With_Gravity_Prior_CVPR_2021_paper.html	Yaqing Ding, Daniel Barath, Jian Yang, Hui Kong, Zuzana Kukelova	
