No.	Title	Link	Authors	Keywords
1	Quaternion Equivariant Capsule Networks for 3D Point Clouds	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/267_ECCV_2020_paper.php	Yongheng Zhao, Tolga Birdal, Jan Eric Lenssen, Emanuele Menegatti, Leonidas Guibas, Federico Tombari	
2	DeepFit: 3D Surface Fitting via Neural Network Weighted Least Squares	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/283_ECCV_2020_paper.php	Yizhak Ben-Shabat, Stephen Gould	
3	NSGANetV2: Evolutionary Multi-Objective Surrogate-Assisted Neural Architecture Search	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/343_ECCV_2020_paper.php	Zhichao Lu, Kalyanmoy Deb, Erik Goodman, Wolfgang Banzhaf, Vishnu Naresh Boddeti	
4	Describing Textures using Natural Language	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/384_ECCV_2020_paper.php	Chenyun Wu, Mikayla Timm, Subhransu Maji	
5	Empowering Relational Network by Self-Attention Augmented Conditional Random Fields for Group Activity Recognition	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/410_ECCV_2020_paper.php	Rizard Renanda Adhi Pramono, Yie Tarng Chen, Wen Hsien Fang	
6	AiR: Attention with Reasoning Capability	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/445_ECCV_2020_paper.php	Shi Chen, Ming Jiang, Jinhui Yang, Qi Zhao	
7	Self6D: Self-Supervised Monocular 6D Object Pose Estimation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/500_ECCV_2020_paper.php	Gu Wang, Fabian Manhardt, Jianzhun Shao, Xiangyang Ji, Nassir Navab , Federico Tombari	
8	Invertible Image Rescaling	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/529_ECCV_2020_paper.php	Mingqing Xiao, Shuxin Zheng, Chang Liu, Yaolong Wang, Di He, Guolin Ke, Jiang Bian, Zhouchen Lin, Tie-Yan Liu	
9	Synthesize then Compare: Detecting Failures and Anomalies for Semantic Segmentation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/612_ECCV_2020_paper.php	Yingda Xia, Yi Zhang, Fengze Liu, Wei Shen, Alan L. Yuille	
10	House-GAN: Relational Generative Adversarial Networks for Graph-constrained House Layout Generation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/677_ECCV_2020_paper.php	Nelson Nauata, Kai-Hung Chang, Chin-Yi Cheng, Greg Mori, Yasutaka Furukawa	
11	Crowdsampling the Plenoptic Function	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/736_ECCV_2020_paper.php	Zhengqi Li, Wenqi Xian, Abe Davis, Noah Snavely	
12	VoxelPose: Towards Multi-Camera 3D Human Pose Estimation in Wild Environment	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/738_ECCV_2020_paper.php	Hanyue Tu, Chunyu Wang, Wenjun Zeng	
13	End-to-End Object Detection with Transformers	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/832_ECCV_2020_paper.php	Nicolas Carion, Francisco Massa, Gabriel Synnaeve, Nicolas Usunier, Alexander Kirillov, Sergey Zagoruyko	
14	DeepSFM: Structure From Motion Via Deep Bundle Adjustment	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/840_ECCV_2020_paper.php	Xingkui Wei, Yinda Zhang, Zhuwen Li, Yanwei Fu, Xiangyang Xue	
15	Ladybird: Quasi-Monte Carlo Sampling for Deep Implicit Field Based 3D Reconstruction with Symmetry	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1044_ECCV_2020_paper.php	Yifan Xu, Tianqi Fan, Yi Yuan, Gurprit Singh	
16	Segment as Points for Efficient Online Multi-Object Tracking and Segmentation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1059_ECCV_2020_paper.php	Zhenbo Xu, Wei Zhang, Xiao Tan, Wei Yang, Huan Huang, Shilei Wen, Errui Ding, Liusheng Huang	
17	Conditional Convolutions for Instance Segmentation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1105_ECCV_2020_paper.php	Zhi Tian, Chunhua Shen, Hao Chen	
18	MutualNet: Adaptive ConvNet via Mutual Learning from Network Width and Resolution	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1196_ECCV_2020_paper.php	Taojiannan Yang, Sijie Zhu, Chen Chen, Shen Yan, Mi Zhang, Andrew Willis	
19	Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1203_ECCV_2020_paper.php	Menglin Jia, Mengyun Shi, Mikhail Sirotenko, Yin Cui, Claire Cardie , Bharath Hariharan, Hartwig Adam, Serge Belongie	
20	Privacy Preserving Structure-from-Motion	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/1273_ECCV_2020_paper.php	Marcel Geppert, Viktor Larsson, Pablo Speciale, Johannes L. Schönberger, Marc Pollefeys	
