No.	Title	Link	Authors	Keywords
1	FaceForensics++: Learning to Detect Manipulated Facial Images	https://openaccess.thecvf.com/content_ICCV_2019/html/Rossler_FaceForensics_Learning_to_Detect_Manipulated_Facial_Images_ICCV_2019_paper.html	Andreas Rossler, Davide Cozzolino, Luisa Verdoliva, Christian Riess, Justus Thies, Matthias Niessner	
2	DeepVCP: An End-to-End Deep Neural Network for Point Cloud Registration	https://openaccess.thecvf.com/content_ICCV_2019/html/Lu_DeepVCP_An_End-to-End_Deep_Neural_Network_for_Point_Cloud_Registration_ICCV_2019_paper.html	Weixin Lu, Guowei Wan, Yao Zhou, Xiangyu Fu, Pengfei Yuan, Shiyu Song	
3	Shape Reconstruction Using Differentiable Projections and Deep Priors	https://openaccess.thecvf.com/content_ICCV_2019/html/Gadelha_Shape_Reconstruction_Using_Differentiable_Projections_and_Deep_Priors_ICCV_2019_paper.html	Matheus Gadelha, Rui Wang, Subhransu Maji	
4	Fine-Grained Segmentation Networks: Self-Supervised Segmentation for Improved Long-Term Visual Localization	https://openaccess.thecvf.com/content_ICCV_2019/html/Larsson_Fine-Grained_Segmentation_Networks_Self-Supervised_Segmentation_for_Improved_Long-Term_Visual_Localization_ICCV_2019_paper.html	Mans Larsson, Erik Stenborg, Carl Toft, Lars Hammarstrand, Torsten Sattler, Fredrik Kahl	
5	SANet: Scene Agnostic Network for Camera Localization	https://openaccess.thecvf.com/content_ICCV_2019/html/Yang_SANet_Scene_Agnostic_Network_for_Camera_Localization_ICCV_2019_paper.html	Luwei Yang, Ziqian Bai, Chengzhou Tang, Honghua Li, Yasutaka Furukawa, Ping Tan	
6	Total Denoising: Unsupervised Learning of 3D Point Cloud Cleaning	https://openaccess.thecvf.com/content_ICCV_2019/html/Hermosilla_Total_Denoising_Unsupervised_Learning_of_3D_Point_Cloud_Cleaning_ICCV_2019_paper.html	Pedro Hermosilla, Tobias Ritschel, Timo Ropinski	
7	Hierarchical Self-Attention Network for Action Localization in Videos	https://openaccess.thecvf.com/content_ICCV_2019/html/Pramono_Hierarchical_Self-Attention_Network_for_Action_Localization_in_Videos_ICCV_2019_paper.html	Rizard Renanda Adhi Pramono, Yie-Tarng Chen, Wen-Hsien Fang	
8	Goal-Driven Sequential Data Abstraction	https://openaccess.thecvf.com/content_ICCV_2019/html/Muhammad_Goal-Driven_Sequential_Data_Abstraction_ICCV_2019_paper.html	Umar Riaz Muhammad, Yongxin Yang, Timothy M. Hospedales, Tao Xiang, Yi-Zhe Song	
9	Jointly Aligning Millions of Images With Deep Penalised Reconstruction Congealing	https://openaccess.thecvf.com/content_ICCV_2019/html/Annunziata_Jointly_Aligning_Millions_of_Images_With_Deep_Penalised_Reconstruction_Congealing_ICCV_2019_paper.html	Roberto Annunziata, Christos Sagonas, Jacques Cali	
10	Drop to Adapt: Learning Discriminative Features for Unsupervised Domain Adaptation	https://openaccess.thecvf.com/content_ICCV_2019/html/Lee_Drop_to_Adapt_Learning_Discriminative_Features_for_Unsupervised_Domain_Adaptation_ICCV_2019_paper.html	Seungmin Lee, Dongwan Kim, Namil Kim, Seong-Gyun Jeong	
