No.	Title	Link	Authors	Keywords
1	CATER: A diagnostic dataset for Compositional Actions & TEmporal Reasoning	https://openreview.net/forum?id=HJgzt2VKPB	Rohit Girdhar, Deva Ramanan	Video Understanding, Temporal Reasoning
2	BackPACK: Packing more into Backprop	https://openreview.net/forum?id=BJlrF24twB	Felix Dangel, Frederik Kunstner, Philipp Hennig	
3	GenDICE: Generalized Offline Estimation of Stationary Values	https://openreview.net/forum?id=HkxlcnVFwB	Ruiyi Zhang*, Bo Dai*, Lihong Li, Dale Schuurmans	Off-policy Policy Evaluation, Reinforcement Learning, Stationary Distribution Correction Estimation, Fenchel Dual
4	Principled Weight Initialization for Hypernetworks	https://openreview.net/forum?id=H1lma24tPB	Oscar Chang, Lampros Flokas, Hod Lipson	hypernetworks, initialization, optimization, meta-learning
5	On the Convergence of FedAvg on Non-IID Data	https://openreview.net/forum?id=HJxNAnVtDS	Xiang Li, Kaixuan Huang, Wenhao Yang, Shusen Wang, Zhihua Zhang	Federated Learning, stochastic optimization, Federated Averaging
6	Data-dependent Gaussian Prior Objective for Language Generation	https://openreview.net/forum?id=S1efxTVYDr	Zuchao Li, Rui Wang, Kehai Chen, Masso Utiyama, Eiichiro Sumita, Zhuosheng Zhang, Hai Zhao	Gaussian Prior Objective, Language Generation
7	Contrastive Learning of Structured World Models	https://openreview.net/forum?id=H1gax6VtDB	Thomas Kipf, Elise van der Pol, Max Welling	state representation learning, graph neural networks, model-based reinforcement learning, relational learning, object discovery
8	Neural Network Branching for Neural Network Verification	https://openreview.net/forum?id=B1evfa4tPB	Jingyue Lu, M. Pawan Kumar	Neural Network Verification, Branch and Bound, Graph Neural Network, Learning to branch
9	Why Gradient Clipping Accelerates Training: A Theoretical Justification for Adaptivity	https://openreview.net/forum?id=BJgnXpVYwS	Jingzhao Zhang, Tianxing He, Suvrit Sra, Ali Jadbabaie	Adaptive methods, optimization, deep learning
10	Posterior sampling for multi-agent reinforcement learning: solving extensive games with imperfect information	https://openreview.net/forum?id=Syg-ET4FPS	Yichi Zhou, Jialian Li, Jun Zhu	
11	Mogrifier LSTM	https://openreview.net/forum?id=SJe5P6EYvS	Gábor Melis, Tomáš Kočiský, Phil Blunsom	lstm, language modelling
12	Learning Hierarchical Discrete Linguistic Units from Visually-Grounded Speech	https://openreview.net/forum?id=B1elCp4KwH	David Harwath*, Wei-Ning Hsu*, James Glass	visually-grounded speech, self-supervised learning, discrete representation learning, vision and language, vision and speech, hierarchical representation learning
13	Mirror-Generative Neural Machine Translation	https://openreview.net/forum?id=HkxQRTNYPH	Zaixiang Zheng, Hao Zhou, Shujian Huang, Lei Li, Xin-Yu Dai, Jiajun Chen	neural machine translation, generative model, mirror
14	Cyclical Stochastic Gradient MCMC for Bayesian Deep Learning	https://openreview.net/forum?id=rkeS1RVtPS	Ruqi Zhang, Chunyuan Li, Jianyi Zhang, Changyou Chen, Andrew Gordon Wilson	
15	Your classifier is secretly an energy based model and you should treat it like one	https://openreview.net/forum?id=Hkxzx0NtDB	Will Grathwohl, Kuan-Chieh Wang, Joern-Henrik Jacobsen, David Duvenaud, Mohammad Norouzi, Kevin Swersky	energy based models, adversarial robustness, generative models, out of distribution detection, outlier detection, hybrid models, robustness, calibration
16	Dynamics-Aware Unsupervised Discovery of Skills	https://openreview.net/forum?id=HJgLZR4KvH	Archit Sharma, Shixiang Gu, Sergey Levine, Vikash Kumar, Karol Hausman	reinforcement learning, unsupervised learning, model-based learning, deep learning, hierarchical reinforcement learning
17	Optimal Strategies Against Generative Attacks	https://openreview.net/forum?id=BkgzMCVtPB	Roy Mor, Erez Peterfreund, Matan Gavish, Amir Globerson	
18	GraphZoom: A Multi-level Spectral Approach for Accurate and Scalable Graph Embedding	https://openreview.net/forum?id=r1lGO0EKDH	Chenhui Deng, Zhiqiang Zhao, Yongyu Wang, Zhiru Zhang, Zhuo Feng	graph embedding, unsupervised learning, multi-level optimization, spectral graph theory
19	Harnessing Structures for Value-Based Planning and Reinforcement Learning	https://openreview.net/forum?id=rklHqRVKvH	Yuzhe Yang, Guo Zhang, Zhi Xu, Dina Katabi	Deep reinforcement learning, value-based reinforcement learning
20	Comparing Rewinding and Fine-tuning in Neural Network Pruning	https://openreview.net/forum?id=S1gSj0NKvB	Alex Renda, Jonathan Frankle, Michael Carbin	pruning, sparsity, fine-tuning, lottery ticket
21	Meta-Q-Learning	https://openreview.net/forum?id=SJeD3CEFPH	Rasool Fakoor, Pratik Chaudhari, Stefano Soatto, Alexander J. Smola	meta reinforcement learning, propensity estimation, off-policy
22	Mathematical Reasoning in Latent Space	https://openreview.net/forum?id=Ske31kBtPr	Dennis Lee, Christian Szegedy, Markus Rabe, Sarah Loos, Kshitij Bansal	machine learning, formal reasoning
23	A Theory of Usable Information under Computational Constraints	https://openreview.net/forum?id=r1eBeyHFDH	Yilun Xu, Shengjia Zhao, Jiaming Song, Russell Stewart, Stefano Ermon	
24	Geometric Analysis of Nonconvex Optimization Landscapes for Overcomplete Learning	https://openreview.net/forum?id=rygixkHKDH	Qing Qu, Yuexiang Zhai, Xiao Li, Yuqian Zhang, Zhihui Zhu	dictionary learning, sparse representations, nonconvex optimization
25	Deep Batch Active Learning by Diverse, Uncertain Gradient Lower Bounds	https://openreview.net/forum?id=ryghZJBKPS	Jordan T. Ash, Chicheng Zhang, Akshay Krishnamurthy, John Langford, Alekh Agarwal	deep learning, active learning, batch active learning
26	Understanding and Robustifying Differentiable Architecture Search	https://openreview.net/forum?id=H1gDNyrKDS	Arber Zela, Thomas Elsken, Tonmoy Saikia, Yassine Marrakchi, Thomas Brox, Frank Hutter	Neural Architecture Search, AutoML, AutoDL, Deep Learning, Computer Vision
27	A Closer Look at Deep Policy Gradients	https://openreview.net/forum?id=ryxdEkHtPS	Andrew Ilyas, Logan Engstrom, Shibani Santurkar, Dimitris Tsipras, Firdaus Janoos, Larry Rudolph, Aleksander Madry	deep policy gradient methods, deep reinforcement learning, trpo, ppo
28	Implementation Matters in Deep RL: A Case Study on PPO and TRPO	https://openreview.net/forum?id=r1etN1rtPB	Logan Engstrom, Andrew Ilyas, Shibani Santurkar, Dimitris Tsipras, Firdaus Janoos, Larry Rudolph, Aleksander Madry	deep policy gradient methods, deep reinforcement learning, trpo, ppo
29	Fast Task Inference with Variational Intrinsic Successor Features	https://openreview.net/forum?id=BJeAHkrYDS	Steven Hansen, Will Dabney, Andre Barreto, David Warde-Farley, Tom Van de Wiele, Volodymyr Mnih	Reinforcement Learning, Variational Intrinsic Control, Successor Features
30	Learning to Balance: Bayesian Meta-Learning for Imbalanced and Out-of-distribution Tasks	https://openreview.net/forum?id=rkeZIJBYvr	Hae Beom Lee, Hayeon Lee, Donghyun Na, Saehoon Kim, Minseop Park, Eunho Yang, Sung Ju Hwang	meta-learning, few-shot learning, Bayesian neural network, variational inference, learning to learn, imbalanced and out-of-distribution tasks for few-shot learning
31	RNA Secondary Structure Prediction By Learning Unrolled Algorithms	https://openreview.net/forum?id=S1eALyrYDH	Xinshi Chen, Yu Li, Ramzan Umarov, Xin Gao, Le Song	RNA secondary structure prediction, learning algorithm, deep architecture design, computational biology
