No.	Title	Link	Authors	Keywords
1	A graph similarity for deep learning	https://papers.nips.cc/paper/2020/hash/0004d0b59e19461ff126e3a08a814c33-Abstract.html	Seongmin Ok	
2	An Unsupervised Information-Theoretic Perceptual Quality Metric	https://papers.nips.cc/paper/2020/hash/00482b9bed15a272730fcb590ffebddd-Abstract.html	Sangnie Bhardwaj, Ian Fischer, Johannes Ballé, Troy Chinen	
3	Self-Supervised MultiModal Versatile Networks	https://papers.nips.cc/paper/2020/hash/0060ef47b12160b9198302ebdb144dcf-Abstract.html	Jean-Baptiste Alayrac, Adria Recasens, Rosalia Schneider, Relja Arandjelović, Jason Ramapuram, Jeffrey De Fauw, Lucas Smaira, Sander Dieleman, Andrew Zisserman	
4	Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method	https://papers.nips.cc/paper/2020/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html	Simiao Ren, Willie Padilla, Jordan Malof	
5	Off-Policy Evaluation and Learning for External Validity under a Covariate Shift	https://papers.nips.cc/paper/2020/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html	Masatoshi Uehara, Masahiro Kato, Shota Yasui	
6	Neural Methods for Point-wise Dependency Estimation	https://papers.nips.cc/paper/2020/hash/00a03ec6533ca7f5c644d198d815329c-Abstract.html	Yao-Hung Hubert Tsai, Han Zhao, Makoto Yamada, Louis-Philippe Morency, Russ R. Salakhutdinov	
7	Fast and Flexible Temporal Point Processes with Triangular Maps	https://papers.nips.cc/paper/2020/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html	Oleksandr Shchur, Nicholas Gao, Marin Biloš, Stephan Günnemann	
8	Backpropagating Linearly Improves Transferability of Adversarial Examples	https://papers.nips.cc/paper/2020/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html	Yiwen Guo, Qizhang Li, Hao Chen	
9	PyGlove: Symbolic Programming for Automated Machine Learning	https://papers.nips.cc/paper/2020/hash/012a91467f210472fab4e11359bbfef6-Abstract.html	Daiyi Peng, Xuanyi Dong, Esteban Real, Mingxing Tan, Yifeng Lu, Gabriel Bender, Hanxiao Liu, Adam Kraft, Chen Liang, Quoc Le	
10	Fourier Sparse Leverage Scores and Approximate Kernel Learning	https://papers.nips.cc/paper/2020/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html	Tamas Erdelyi, Cameron Musco, Christopher Musco	
11	Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds	https://papers.nips.cc/paper/2020/hash/0163cceb20f5ca7b313419c068abd9dc-Abstract.html	Nicholas Harvey, Christopher Liaw, Tasuku Soma	
12	Synbols: Probing Learning Algorithms with Synthetic Datasets	https://papers.nips.cc/paper/2020/hash/0169cf885f882efd795951253db5cdfb-Abstract.html	Alexandre Lacoste, Pau Rodríguez López, Frederic Branchaud-Charron, Parmida Atighehchian, Massimo Caccia, Issam Hadj Laradji, Alexandre Drouin, Matthew Craddock, Laurent Charlin, David Vázquez	
13	Adversarially Robust Streaming Algorithms via Differential Privacy	https://papers.nips.cc/paper/2020/hash/0172d289da48c48de8c5ebf3de9f7ee1-Abstract.html	Avinatan Hasidim, Haim Kaplan, Yishay Mansour, Yossi Matias, Uri Stemmer	
14	Trading Personalization for Accuracy: Data Debugging in Collaborative Filtering	https://papers.nips.cc/paper/2020/hash/019fa4fdf1c04cf73ba25aa2223769cd-Abstract.html	Long Chen, Yuan Yao, Feng Xu, Miao Xu, Hanghang Tong	
15	Cascaded Text Generation with Markov Transformers	https://papers.nips.cc/paper/2020/hash/01a0683665f38d8e5e567b3b15ca98bf-Abstract.html	Yuntian Deng, Alexander Rush	
16	Improving Local Identifiability in Probabilistic Box Embeddings	https://papers.nips.cc/paper/2020/hash/01c9d2c5b3ff5cbba349ec39a570b5e3-Abstract.html	Shib Dasgupta, Michael Boratko, Dongxu Zhang, Luke Vilnis, Xiang Li, Andrew McCallum	
17	Permute-and-Flip: A new mechanism for differentially private selection	https://papers.nips.cc/paper/2020/hash/01e00f2f4bfcbb7505cb641066f2859b-Abstract.html	Ryan McKenna, Daniel R. Sheldon	
18	Deep reconstruction of strange attractors from time series	https://papers.nips.cc/paper/2020/hash/021bbc7ee20b71134d53e20206bd6feb-Abstract.html	William Gilpin	
19	Reciprocal Adversarial Learning via Characteristic Functions	https://papers.nips.cc/paper/2020/hash/021f6dd88a11ca489936ae770e4634ad-Abstract.html	Shengxi Li, Zeyang Yu, Min Xiang, Danilo Mandic	
20	Statistical Guarantees of Distributed Nearest Neighbor Classification	https://papers.nips.cc/paper/2020/hash/022e0ee5162c13d9a7bb3bd00fb032ce-Abstract.html	Jiexin Duan, Xingye Qiao, Guang Cheng	
21	Stein Self-Repulsive Dynamics: Benefits From Past Samples	https://papers.nips.cc/paper/2020/hash/023d0a5671efd29e80b4deef8262e297-Abstract.html	Mao Ye, Tongzheng Ren, Qiang Liu	
22	The Statistical Complexity of Early-Stopped Mirror Descent	https://papers.nips.cc/paper/2020/hash/024d2d699e6c1a82c9ba986386f4d824-Abstract.html	Tomas Vaskevicius, Varun Kanade, Patrick Rebeschini	
23	Algorithmic recourse under imperfect causal knowledge: a probabilistic approach	https://papers.nips.cc/paper/2020/hash/02a3c7fb3f489288ae6942498498db20-Abstract.html	Amir-Hossein Karimi, Julius von Kügelgen, Bernhard Schölkopf, Isabel Valera	
24	Quantitative Propagation of Chaos for SGD in Wide Neural Networks	https://papers.nips.cc/paper/2020/hash/02e74f10e0327ad868d138f2b4fdd6f0-Abstract.html	Valentin De Bortoli, Alain Durmus, Xavier Fontaine, Umut Simsekli	
25	A Causal View on Robustness of Neural Networks	https://papers.nips.cc/paper/2020/hash/02ed812220b0705fabb868ddbf17ea20-Abstract.html	Cheng Zhang, Kun Zhang, Yingzhen Li	
26	Minimax Classification with 0-1 Loss and Performance Guarantees	https://papers.nips.cc/paper/2020/hash/02f657d55eaf1c4840ce8d66fcdaf90c-Abstract.html	Santiago Mazuelas, Andrea Zanoni, Aritz Pérez	
27	How to Learn a Useful Critic? Model-based Action-Gradient-Estimator Policy Optimization	https://papers.nips.cc/paper/2020/hash/03255088ed63354a54e0e5ed957e9008-Abstract.html	Pierluca D'Oro, Wojciech Jaśkowski	
28	Coresets for Regressions with Panel Data	https://papers.nips.cc/paper/2020/hash/03287fcce194dbd958c2ec5b33705912-Abstract.html	Lingxiao Huang, K Sudhir, Nisheeth Vishnoi	
29	Learning Composable Energy Surrogates for PDE Order Reduction	https://papers.nips.cc/paper/2020/hash/0332d694daab22e0e0eaf7a5e88433f9-Abstract.html	Alex Beatson, Jordan Ash, Geoffrey Roeder, Tianju Xue, Ryan P. Adams	
30	Efficient Contextual Bandits with Continuous Actions	https://papers.nips.cc/paper/2020/hash/033cc385728c51d97360020ed57776f0-Abstract.html	Maryam Majzoubi, Chicheng Zhang, Rajan Chari, Akshay Krishnamurthy, John Langford, Aleksandrs Slivkins	
31	Achieving Equalized Odds by Resampling Sensitive Attributes	https://papers.nips.cc/paper/2020/hash/03593ce517feac573fdaafa6dcedef61-Abstract.html	Yaniv Romano, Stephen Bates, Emmanuel Candes	
32	Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates	https://papers.nips.cc/paper/2020/hash/03793ef7d06ffd63d34ade9d091f1ced-Abstract.html	Wenhao Luo, Wen Sun, Ashish Kapoor	
33	Hard Shape-Constrained Kernel Machines	https://papers.nips.cc/paper/2020/hash/03fa2f7502f5f6b9169e67d17cbf51bb-Abstract.html	Pierre-Cyril Aubin-Frankowski, Zoltan Szabo	
34	A Closer Look at the Training Strategy for Modern Meta-Learning	https://papers.nips.cc/paper/2020/hash/0415740eaa4d9decbc8da001d3fd805f-Abstract.html	JIAXIN CHEN, Xiao-Ming Wu, Yanke Li, Qimai LI, Li-Ming Zhan, Fu-lai Chung	
35	On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law	https://papers.nips.cc/paper/2020/hash/045117b0e0a11a242b9765e79cbf113f-Abstract.html	Damien Teney, Ehsan Abbasnejad, Kushal Kafle, Robik Shrestha, Christopher Kanan, Anton van den Hengel	
36	Generalised Bayesian Filtering via Sequential Monte Carlo	https://papers.nips.cc/paper/2020/hash/04ecb1fa28506ccb6f72b12c0245ddbc-Abstract.html	Ayman Boustati, Omer Deniz Akyildiz, Theodoros Damoulas, Adam Johansen	
37	Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time	https://papers.nips.cc/paper/2020/hash/05128e44e27c36bdba71221bfccf735d-Abstract.html	Kai Han, zongmai Cao, Shuang Cui, Benwei Wu	
38	Flows for simultaneous manifold learning and density estimation	https://papers.nips.cc/paper/2020/hash/051928341be67dcba03f0e04104d9047-Abstract.html	Johann Brehmer, Kyle Cranmer	
39	Simultaneous Preference and Metric Learning from Paired Comparisons	https://papers.nips.cc/paper/2020/hash/0561bc7ecba98e39ca7994f93311ba23-Abstract.html	Austin Xu, Mark Davenport	
40	Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee	https://papers.nips.cc/paper/2020/hash/05a624166c8eb8273b8464e8d9cb5bd9-Abstract.html	Jincheng Bai, Qifan Song, Guang Cheng	
41	Learning Manifold Implicitly via Explicit Heat-Kernel Learning	https://papers.nips.cc/paper/2020/hash/05e2a0647e260c355dd2b2175edb45b8-Abstract.html	Yufan Zhou, Changyou Chen, Jinhui Xu	
42	Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network	https://papers.nips.cc/paper/2020/hash/05ee45de8d877c3949760a94fa691533-Abstract.html	Chaojie Wang, Hao Zhang, Bo Chen, Dongsheng Wang, Zhengjue Wang, Mingyuan Zhou	
43	One-bit Supervision for Image Classification	https://papers.nips.cc/paper/2020/hash/05f971b5ec196b8c65b75d2ef8267331-Abstract.html	Hengtong Hu, Lingxi Xie, Zewei Du, Richang Hong, Qi Tian	
44	What is being transferred in transfer learning?	https://papers.nips.cc/paper/2020/hash/0607f4c705595b911a4f3e7a127b44e0-Abstract.html	Behnam Neyshabur, Hanie Sedghi, Chiyuan Zhang	
45	Submodular Maximization Through Barrier Functions	https://papers.nips.cc/paper/2020/hash/061412e4a03c02f9902576ec55ebbe77-Abstract.html	Ashwinkumar Badanidiyuru, Amin Karbasi, Ehsan Kazemi, Jan Vondrak	
46	Neural Networks with Recurrent Generative Feedback	https://papers.nips.cc/paper/2020/hash/0660895c22f8a14eb039bfb9beb0778f-Abstract.html	Yujia Huang, James Gornet, Sihui Dai, Zhiding Yu, Tan Nguyen, Doris Tsao, Anima Anandkumar	
47	Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction	https://papers.nips.cc/paper/2020/hash/0663a4ddceacb40b095eda264a85f15c-Abstract.html	Jinheon Baek, Dong Bok Lee, Sung Ju Hwang	
48	Exploiting weakly supervised visual patterns to learn from partial annotations	https://papers.nips.cc/paper/2020/hash/066ca7bf90807fcd8e4f1eaef4e4e8f7-Abstract.html	Kaustav Kundu, Joseph Tighe	
49	Improving Inference for Neural Image Compression	https://papers.nips.cc/paper/2020/hash/066f182b787111ed4cb65ed437f0855b-Abstract.html	Yibo Yang, Robert Bamler, Stephan Mandt	
50	Neuron Merging: Compensating for Pruned Neurons	https://papers.nips.cc/paper/2020/hash/0678ca2eae02d542cc931e81b74de122-Abstract.html	Woojeong Kim, Suhyun Kim, Mincheol Park, Geunseok Jeon	
51	FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence	https://papers.nips.cc/paper/2020/hash/06964dce9addb1c5cb5d6e3d9838f733-Abstract.html	Kihyuk Sohn, David Berthelot, Nicholas Carlini, Zizhao Zhang, Han Zhang, Colin A. Raffel, Ekin Dogus Cubuk, Alexey Kurakin, Chun-Liang Li	
52	Reinforcement Learning with Combinatorial Actions: An Application to Vehicle Routing	https://papers.nips.cc/paper/2020/hash/06a9d51e04213572ef0720dd27a84792-Abstract.html	Arthur Delarue, Ross Anderson, Christian Tjandraatmadja	
53	Towards Playing Full MOBA Games with Deep Reinforcement Learning	https://papers.nips.cc/paper/2020/hash/06d5ae105ea1bea4d800bc96491876e9-Abstract.html	Deheng Ye, Guibin Chen, Wen Zhang, Sheng Chen, Bo Yuan, Bo Liu, Jia Chen, Zhao Liu, Fuhao Qiu, Hongsheng Yu, Yinyuting Yin, Bei Shi, Liang Wang, Tengfei Shi, Qiang Fu, Wei Yang, Lanxiao Huang, Wei Liu	
54	Rankmax: An Adaptive Projection Alternative to the Softmax Function	https://papers.nips.cc/paper/2020/hash/070dbb6024b5ef93784428afc71f2146-Abstract.html	Weiwei Kong, Walid Krichene, Nicolas Mayoraz, Steffen Rendle, Li Zhang	
55	Online Agnostic Boosting via Regret Minimization	https://papers.nips.cc/paper/2020/hash/07168af6cb0ef9f78dae15739dd73255-Abstract.html	Nataly Brukhim, Xinyi Chen, Elad Hazan, Shay Moran	
56	Causal Intervention for Weakly-Supervised Semantic Segmentation	https://papers.nips.cc/paper/2020/hash/07211688a0869d995947a8fb11b215d6-Abstract.html	Dong Zhang, Hanwang Zhang, Jinhui Tang, Xian-Sheng Hua, Qianru Sun	
57	Belief Propagation Neural Networks	https://papers.nips.cc/paper/2020/hash/07217414eb3fbe24d4e5b6cafb91ca18-Abstract.html	Jonathan Kuck, Shuvam Chakraborty, Hao Tang, Rachel Luo, Jiaming Song, Ashish Sabharwal, Stefano Ermon	
58	Over-parameterized Adversarial Training: An Analysis Overcoming the Curse of Dimensionality	https://papers.nips.cc/paper/2020/hash/0740bb92e583cd2b88ec7c59f985cb41-Abstract.html	Yi Zhang, Orestis Plevrakis, Simon S. Du, Xingguo Li, Zhao Song, Sanjeev Arora	
59	Post-training Iterative Hierarchical Data Augmentation for Deep Networks	https://papers.nips.cc/paper/2020/hash/074177d3eb6371e32c16c55a3b8f706b-Abstract.html	Adil Khan, Khadija Fraz	
60	Debugging Tests for Model Explanations	https://papers.nips.cc/paper/2020/hash/075b051ec3d22dac7b33f788da631fd4-Abstract.html	Julius Adebayo, Michael Muelly, Ilaria Liccardi, Been Kim	
61	Robust compressed sensing using generative models	https://papers.nips.cc/paper/2020/hash/07cb5f86508f146774a2fac4373a8e50-Abstract.html	Ajil Jalal, Liu Liu, Alexandros G. Dimakis, Constantine Caramanis	
62	Fairness without Demographics through Adversarially Reweighted Learning	https://papers.nips.cc/paper/2020/hash/07fc15c9d169ee48573edd749d25945d-Abstract.html	Preethi Lahoti, Alex Beutel, Jilin Chen, Kang Lee, Flavien Prost, Nithum Thain, Xuezhi Wang, Ed Chi	
63	Stochastic Latent Actor-Critic: Deep Reinforcement Learning with a Latent Variable Model	https://papers.nips.cc/paper/2020/hash/08058bf500242562c0d031ff830ad094-Abstract.html	Alex X. Lee, Anusha Nagabandi, Pieter Abbeel, Sergey Levine	
64	Ridge Rider: Finding Diverse Solutions by Following Eigenvectors of the Hessian	https://papers.nips.cc/paper/2020/hash/08425b881bcde94a383cd258cea331be-Abstract.html	Jack Parker-Holder, Luke Metz, Cinjon Resnick, Hengyuan Hu, Adam Lerer, Alistair Letcher, Alexander Peysakhovich, Aldo Pacchiano, Jakob Foerster	
65	The route to chaos in routing games: When is price of anarchy too optimistic?	https://papers.nips.cc/paper/2020/hash/0887f1a5b9970ad13f46b8c1485f7900-Abstract.html	Thiparat Chotibut, Fryderyk Falniowski, Michał Misiurewicz, Georgios Piliouras	
66	Online Algorithm for Unsupervised Sequential Selection with Contextual Information	https://papers.nips.cc/paper/2020/hash/08e5d8066881eab185d0de9db3b36c7f-Abstract.html	Arun Verma, Manjesh Kumar Hanawal, Csaba Szepesvari, Venkatesh Saligrama	
67	Adapting Neural Architectures Between Domains	https://papers.nips.cc/paper/2020/hash/08f38e0434442128fab5ead6217ca759-Abstract.html	Yanxi Li, Zhaohui Yang, Yunhe Wang, Chang Xu	
68	What went wrong and when? Instance-wise feature importance for time-series black-box models	https://papers.nips.cc/paper/2020/hash/08fa43588c2571ade19bc0fa5936e028-Abstract.html	Sana Tonekaboni, Shalmali Joshi, Kieran Campbell, David K. Duvenaud, Anna Goldenberg	
69	Towards Better Generalization of Adaptive Gradient Methods	https://papers.nips.cc/paper/2020/hash/08fb104b0f2f838f3ce2d2b3741a12c2-Abstract.html	Yingxue Zhou, Belhal Karimi, Jinxing Yu, Zhiqiang Xu, Ping Li	
70	Learning Guidance Rewards with Trajectory-space Smoothing	https://papers.nips.cc/paper/2020/hash/0912d0f15f1394268c66639e39b26215-Abstract.html	Tanmay Gangwani, Yuan Zhou, Jian Peng	
71	Variance Reduction via Accelerated Dual Averaging for Finite-Sum Optimization	https://papers.nips.cc/paper/2020/hash/093b60fd0557804c8ba0cbf1453da22f-Abstract.html	Chaobing Song, Yong Jiang, Yi Ma	
72	Tree! I am no Tree! I am a low dimensional Hyperbolic Embedding	https://papers.nips.cc/paper/2020/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html	Rishi Sonthalia, Anna Gilbert	
73	Deep Structural Causal Models for Tractable Counterfactual Inference	https://papers.nips.cc/paper/2020/hash/0987b8b338d6c90bbedd8631bc499221-Abstract.html	Nick Pawlowski, Daniel Coelho de Castro, Ben Glocker	
74	Convolutional Generation of Textured 3D Meshes	https://papers.nips.cc/paper/2020/hash/098d86c982354a96556bd861823ebfbd-Abstract.html	Dario Pavllo, Graham Spinks, Thomas Hofmann, Marie-Francine Moens, Aurelien Lucchi	
75	A Statistical Framework for Low-bitwidth Training of Deep Neural Networks	https://papers.nips.cc/paper/2020/hash/099fe6b0b444c23836c4a5d07346082b-Abstract.html	Jianfei Chen, Yu Gai, Zhewei Yao, Michael W. Mahoney, Joseph E. Gonzalez	
76	Better Set Representations For Relational Reasoning	https://papers.nips.cc/paper/2020/hash/09ccf3183d9e90e5ae1f425d5f9b2c00-Abstract.html	Qian Huang, Horace He, Abhay Singh, Yan Zhang, Ser Nam Lim, Austin R. Benson	
77	AutoSync: Learning to Synchronize for Data-Parallel Distributed Deep Learning	https://papers.nips.cc/paper/2020/hash/0a2298a72858d90d5c4b4fee954b6896-Abstract.html	Hao Zhang, Yuan Li, Zhijie Deng, Xiaodan Liang, Lawrence Carin, Eric Xing	
78	A Combinatorial Perspective on Transfer Learning	https://papers.nips.cc/paper/2020/hash/0a3b6f64f0523984e51323fe53b8c504-Abstract.html	Jianan Wang, Eren Sezener, David Budden, Marcus Hutter, Joel Veness	
79	Hardness of Learning Neural Networks with Natural Weights	https://papers.nips.cc/paper/2020/hash/0a4dc6dae338c9cb08947c07581f77a2-Abstract.html	Amit Daniely, Gal Vardi	
80	Higher-Order Spectral Clustering of Directed Graphs	https://papers.nips.cc/paper/2020/hash/0a5052334511e344f15ae0bfafd47a67-Abstract.html	Steinar Laenen, He Sun	
81	Primal-Dual Mesh Convolutional Neural Networks	https://papers.nips.cc/paper/2020/hash/0a656cc19f3f5b41530182a9e03982a4-Abstract.html	Francesco Milano, Antonio Loquercio, Antoni Rosinol, Davide Scaramuzza, Luca Carlone	
