No.	Title	Link	Authors	Keywords
1	Finding Task-Relevant Features for Few-Shot Learning by Category Traversal	https://openaccess.thecvf.com/content_CVPR_2019/html/Li_Finding_Task-Relevant_Features_for_Few-Shot_Learning_by_Category_Traversal_CVPR_2019_paper.html	Hongyang Li, David Eigen, Samuel Dodge, Matthew Zeiler, Xiaogang Wang	
2	Edge-Labeling Graph Neural Network for Few-Shot Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Kim_Edge-Labeling_Graph_Neural_Network_for_Few-Shot_Learning_CVPR_2019_paper.html	Jongmin Kim, Taesup Kim, Sungwoong Kim, Chang D. Yoo	
3	Generating Classification Weights With GNN Denoising Autoencoders for Few-Shot Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Gidaris_Generating_Classification_Weights_With_GNN_Denoising_Autoencoders_for_Few-Shot_Learning_CVPR_2019_paper.html	Spyros Gidaris, Nikos Komodakis	
4	Kervolutional Neural Networks	https://openaccess.thecvf.com/content_CVPR_2019/html/Wang_Kervolutional_Neural_Networks_CVPR_2019_paper.html	Chen Wang, Jianfei Yang, Lihua Xie, Junsong Yuan	
5	Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem	https://openaccess.thecvf.com/content_CVPR_2019/html/Hein_Why_ReLU_Networks_Yield_High-Confidence_Predictions_Far_Away_From_the_CVPR_2019_paper.html	Matthias Hein, Maksym Andriushchenko, Julian Bitterwolf	
6	On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions	https://openaccess.thecvf.com/content_CVPR_2019/html/Tsuzuku_On_the_Structural_Sensitivity_of_Deep_Convolutional_Networks_to_the_CVPR_2019_paper.html	Yusuke Tsuzuku, Issei Sato	
7	Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization	https://openaccess.thecvf.com/content_CVPR_2019/html/Qiao_Neural_Rejuvenation_Improving_Deep_Network_Training_by_Enhancing_Computational_Resource_CVPR_2019_paper.html	Siyuan Qiao, Zhe Lin, Jianming Zhang, Alan L. Yuille	
8	Hardness-Aware Deep Metric Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Zheng_Hardness-Aware_Deep_Metric_Learning_CVPR_2019_paper.html	Wenzhao Zheng, Zhaodong Chen, Jiwen Lu, Jie Zhou	
9	Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation	https://openaccess.thecvf.com/content_CVPR_2019/html/Liu_Auto-DeepLab_Hierarchical_Neural_Architecture_Search_for_Semantic_Image_Segmentation_CVPR_2019_paper.html	Chenxi Liu, Liang-Chieh Chen, Florian Schroff, Hartwig Adam, Wei Hua, Alan L. Yuille, Li Fei-Fei	
10	Learning Loss for Active Learning	https://openaccess.thecvf.com/content_CVPR_2019/html/Yoo_Learning_Loss_for_Active_Learning_CVPR_2019_paper.html	Donggeun Yoo, In So Kweon	
