No.	Title	Link	Authors	Keywords
1	What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study	https://openreview.net/forum?id=nIAxjsniDzg	Marcin Andrychowicz, Anton Raichuk, Piotr Stańczyk, Manu Orsini, Sertan Girgin, Raphaël Marinier, Leonard Hussenot, Matthieu Geist, Olivier Pietquin, Marcin Michalski, Sylvain Gelly, Olivier Bachem	Reinforcement learning, continuous control
2	Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data	https://openreview.net/forum?id=rC8sJ4i6kaH	Colin Wei, Kendrick Shen, Yining Chen, Tengyu Ma	deep learning theory, domain adaptation theory, unsupervised learning theory, semi-supervised learning theory
3	Learning to Reach Goals via Iterated Supervised Learning	https://openreview.net/forum?id=rALA0Xo6yNJ	Dibya Ghosh, Abhishek Gupta, Ashwin Reddy, Justin Fu, Coline Manon Devin, Benjamin Eysenbach, Sergey Levine	goal reaching, reinforcement learning, behavior cloning, goal-conditioned RL
4	Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients	https://openreview.net/forum?id=m5Qsh0kBQG	Brenden K Petersen, Mikel Landajuela Larma, Terrell N. Mundhenk, Claudio Prata Santiago, Soo Kyung Kim, Joanne Taery Kim	symbolic regression, reinforcement learning, automated machine learning
5	Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime	https://openreview.net/forum?id=PULSD5qI2N1	Atsushi Nitanda, Taiji Suzuki	stochastic gradient descent, two-layer neural network, over-parameterization, neural tangent kernel
6	Free Lunch for Few-shot Learning: Distribution Calibration	https://openreview.net/forum?id=JWOiYxMG92s	Shuo Yang, Lu Liu, Min Xu	few-shot learning, image classification, distribution estimation
7	Scalable Learning and MAP Inference for Nonsymmetric Determinantal Point Processes	https://openreview.net/forum?id=HajQFbx_yB	Mike Gartrell, Insu Han, Elvis Dohmatob, Jennifer Gillenwater, Victor-Emmanuel Brunel	determinantal point processes, unsupervised learning, representation learning, submodular optimization
8	Randomized Automatic Differentiation	https://openreview.net/forum?id=xpx9zj7CUlY	Deniz Oktay, Nick McGreivy, Joshua Aduol, Alex Beatson, Ryan P Adams	automatic differentiation, autodiff, backprop, deep learning, pdes, stochastic optimization
9	Learning Generalizable Visual Representations via Interactive Gameplay	https://openreview.net/forum?id=UuchYL8wSZo	Luca Weihs, Aniruddha Kembhavi, Kiana Ehsani, Sarah M Pratt, Winson Han, Alvaro Herrasti, Eric Kolve, Dustin Schwenk, Roozbeh Mottaghi, Ali Farhadi	representation learning, deep reinforcement learning, computer vision
10	Global Convergence of Three-layer Neural Networks in the Mean Field Regime	https://openreview.net/forum?id=KvyxFqZS_D	Huy Tuan Pham, Phan-Minh Nguyen	deep learning theory
