No.	Title	Link	Authors	Keywords
1	A New Representation of Successor Features for Transfer across Dissimilar Environments	https://proceedings.mlr.press/v139/abdolshah21a.html	Majid Abdolshah, Hung Le, Thommen Karimpanal George, Sunil Gupta, Santu Rana, Svetha Venkatesh	
2	Massively Parallel and Asynchronous Tsetlin Machine Architecture Supporting Almost Constant-Time Scaling	https://proceedings.mlr.press/v139/abeyrathna21a.html	Kuruge Darshana Abeyrathna, Bimal Bhattarai, Morten Goodwin, Saeed Rahimi Gorji, Ole-Christoffer Granmo, Lei Jiao, Rupsa Saha, Rohan K. Yadav	
3	Debiasing Model Updates for Improving Personalized Federated Training	https://proceedings.mlr.press/v139/acar21a.html	Durmus Alp Emre Acar, Yue Zhao, Ruizhao Zhu, Ramon Matas, Matthew Mattina, Paul Whatmough, Venkatesh Saligrama	
4	Memory Efficient Online Meta Learning	https://proceedings.mlr.press/v139/acar21b.html	Durmus Alp Emre Acar, Ruizhao Zhu, Venkatesh Saligrama	
5	Robust Testing and Estimation under Manipulation Attacks	https://proceedings.mlr.press/v139/acharya21a.html	Jayadev Acharya, Ziteng Sun, Huanyu Zhang	
6	GP-Tree: A Gaussian Process Classifier for Few-Shot Incremental Learning	https://proceedings.mlr.press/v139/achituve21a.html	Idan Achituve, Aviv Navon, Yochai Yemini, Gal Chechik, Ethan Fetaya	
7	f-Domain Adversarial Learning: Theory and Algorithms	https://proceedings.mlr.press/v139/acuna21a.html	David Acuna, Guojun Zhang, Marc T. Law, Sanja Fidler	
8	Towards Rigorous Interpretations: a Formalisation of Feature Attribution	https://proceedings.mlr.press/v139/afchar21a.html	Darius Afchar, Vincent Guigue, Romain Hennequin	
9	Acceleration via Fractal Learning Rate Schedules	https://proceedings.mlr.press/v139/agarwal21a.html	Naman Agarwal, Surbhi Goel, Cyril Zhang	
10	A Regret Minimization Approach to Iterative Learning Control	https://proceedings.mlr.press/v139/agarwal21b.html	Naman Agarwal, Elad Hazan, Anirudha Majumdar, Karan Singh	
11	Towards the Unification and Robustness of Perturbation and Gradient Based Explanations	https://proceedings.mlr.press/v139/agarwal21c.html	Sushant Agarwal, Shahin Jabbari, Chirag Agarwal, Sohini Upadhyay, Steven Wu, Himabindu Lakkaraju	
12	Label Inference Attacks from Log-loss Scores	https://proceedings.mlr.press/v139/aggarwal21a.html	Abhinav Aggarwal, Shiva Kasiviswanathan, Zekun Xu, Oluwaseyi Feyisetan, Nathanael Teissier	
13	Deep kernel processes	https://proceedings.mlr.press/v139/aitchison21a.html	Laurence Aitchison, Adam Yang, Sebastian W. Ober	
14	How Does Loss Function Affect Generalization Performance of Deep Learning? Application to Human Age Estimation	https://proceedings.mlr.press/v139/akbari21a.html	Ali Akbari, Muhammad Awais, Manijeh Bashar, Josef Kittler	
15	On Learnability via Gradient Method for Two-Layer ReLU Neural Networks in Teacher-Student Setting	https://proceedings.mlr.press/v139/akiyama21a.html	Shunta Akiyama, Taiji Suzuki	
16	Slot Machines: Discovering Winning Combinations of Random Weights in Neural Networks	https://proceedings.mlr.press/v139/aladago21a.html	Maxwell M Aladago, Lorenzo Torresani	
17	A large-scale benchmark for few-shot program induction and synthesis	https://proceedings.mlr.press/v139/alet21a.html	Ferran Alet, Javier Lopez-Contreras, James Koppel, Maxwell Nye, Armando Solar-Lezama, Tomas Lozano-Perez, Leslie Kaelbling, Joshua Tenenbaum	
18	Robust Pure Exploration in Linear Bandits with Limited Budget	https://proceedings.mlr.press/v139/alieva21a.html	Ayya Alieva, Ashok Cutkosky, Abhimanyu Das	
19	Communication-Efficient Distributed Optimization with Quantized Preconditioners	https://proceedings.mlr.press/v139/alimisis21a.html	Foivos Alimisis, Peter Davies, Dan Alistarh	
20	Non-Exponentially Weighted Aggregation: Regret Bounds for Unbounded Loss Functions	https://proceedings.mlr.press/v139/alquier21a.html	Pierre Alquier	
21	Dataset Dynamics via Gradient Flows in Probability Space	https://proceedings.mlr.press/v139/alvarez-melis21a.html	David Alvarez-Melis, Nicolò Fusi	
